id,participant_id,scale,item,item_id,item_type,version,condition,trial_index,response,reaction_time
103,17,IRQ,14,14,critical,,,910,2,6199.0
104,17,IRQ,10,10,critical,,,911,4,7865.0
105,17,IRQ,27,27,critical,,,912,1,7751.0
106,17,IRQ,4,4,critical,,,913,5,5408.0
107,17,IRQ,30,30,critical,,,914,2,11867.0
108,17,IRQ,5,5,critical,,,915,4,7583.0
109,17,IRQ,6,6,critical,,,916,5,2975.0
110,17,IRQ,19,19,critical,,,917,1,4262.0
111,17,IRQ,35,35,critical,,,918,4,7122.0
112,17,IRQ,3,3,critical,,,919,4,3192.0
113,17,IRQ,34,34,critical,,,920,2,8084.0
114,17,IRQ,17,17,critical,,,921,2,5880.0
115,17,IRQ,20,20,critical,,,922,3,3843.0
116,17,IRQ,16,16,critical,,,923,3,5833.0
117,17,IRQ,38,38,catch,,,924,5,3801.0
118,17,IRQ,39,39,catch,,,925,1,2945.0
119,17,IRQ,7,7,critical,,,926,4,3530.0
120,17,IRQ,24,24,critical,,,927,1,6404.0
121,17,IRQ,8,8,critical,,,928,5,7708.0
122,17,IRQ,1,1,critical,,,929,4,7466.0
123,17,IRQ,25,25,critical,,,930,2,6293.0
124,17,IRQ,28,28,critical,,,931,2,8410.0
125,17,IRQ,9,9,critical,,,932,2,3117.0
126,17,IRQ,23,23,critical,,,933,1,3515.0
127,17,IRQ,13,13,critical,,,934,3,5806.0
128,17,IRQ,11,11,critical,,,935,2,5242.0
129,17,IRQ,37,37,catch,,,936,1,3156.0
130,17,IRQ,31,31,critical,,,937,3,6693.0
131,17,IRQ,26,26,critical,,,938,5,9052.0
132,17,IRQ,18,18,critical,,,939,5,4591.0
133,18,IRQ,26,26,critical,,,900,1,9243.0
134,18,IRQ,1,1,critical,,,901,5,5335.0
135,18,IRQ,19,19,critical,,,902,1,3645.0
136,18,IRQ,8,8,critical,,,903,5,5188.0
137,18,IRQ,36,36,critical,,,904,2,5143.0
138,18,IRQ,29,29,critical,,,905,2,5476.0
139,18,IRQ,27,27,critical,,,906,5,3137.0
140,18,IRQ,28,28,critical,,,907,2,5505.0
141,18,IRQ,10,10,critical,,,908,5,6772.0
142,18,IRQ,37,37,catch,,,909,1,8894.0
143,18,IRQ,38,38,catch,,,910,5,7981.0
144,18,IRQ,33,33,critical,,,911,5,6146.0
145,18,IRQ,7,7,critical,,,912,3,5623.0
146,18,IRQ,15,15,critical,,,913,4,8796.0
147,18,IRQ,22,22,critical,,,914,5,2787.0
148,18,IRQ,13,13,critical,,,915,4,3264.0
149,18,IRQ,34,34,critical,,,916,3,13024.0
150,18,IRQ,14,14,critical,,,917,5,2798.0
151,18,IRQ,21,21,critical,,,918,5,2456.0
152,18,IRQ,39,39,catch,,,919,1,3703.0
153,18,IRQ,23,23,critical,,,920,1,4643.0
154,18,IRQ,24,24,critical,,,921,1,3508.0
155,18,IRQ,12,12,critical,,,922,5,2565.0
156,18,IRQ,25,25,critical,,,923,1,3600.0
157,18,IRQ,30,30,critical,,,924,3,19484.0
158,18,IRQ,5,5,critical,,,925,3,5276.0
159,18,IRQ,35,35,critical,,,926,4,3682.0
160,18,IRQ,31,31,critical,,,927,1,3324.0
161,18,IRQ,9,9,critical,,,928,4,3544.0
162,18,IRQ,11,11,critical,,,929,5,3567.0
163,18,IRQ,6,6,critical,,,930,5,2409.0
164,18,IRQ,16,16,critical,,,931,5,2511.0
165,18,IRQ,32,32,critical,,,932,4,4971.0
166,18,IRQ,18,18,critical,,,933,5,6397.0
167,18,IRQ,4,4,critical,,,934,4,3956.0
168,18,IRQ,20,20,critical,,,935,3,2895.0
169,18,IRQ,2,2,critical,,,936,4,3003.0
170,18,IRQ,17,17,critical,,,937,4,2823.0
171,18,IRQ,3,3,critical,,,938,3,2362.0
172,20,IRQ,36,36,critical,,,900,4,5468.0
173,20,IRQ,33,33,critical,,,901,3,3665.0
174,20,IRQ,28,28,critical,,,902,4,4546.0
175,20,IRQ,22,22,critical,,,903,5,2929.0
176,20,IRQ,39,39,catch,,,904,1,3541.0
177,20,IRQ,35,35,critical,,,905,4,4180.0
178,20,IRQ,16,16,critical,,,906,5,3114.0
179,20,IRQ,10,10,critical,,,907,3,5630.0
180,20,IRQ,18,18,critical,,,908,5,11422.0
181,20,IRQ,19,19,critical,,,909,1,3543.0
182,20,IRQ,9,9,critical,,,910,2,16835.0
183,20,IRQ,6,6,critical,,,911,2,2886.0
184,20,IRQ,32,32,critical,,,912,5,3420.0
185,20,IRQ,1,1,critical,,,913,3,5080.0
186,20,IRQ,4,4,critical,,,914,3,21954.0
187,20,IRQ,15,15,critical,,,915,5,3421.0
188,20,IRQ,13,13,critical,,,916,5,7105.0
189,20,IRQ,29,29,critical,,,917,3,3789.0
190,20,IRQ,34,34,critical,,,918,4,5523.0
